 ID-EVENTO;TITULO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;FECHA;FECHA-FIN;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;TIPO;PRECIO
12155096;10ª edición de la  Carrera y Caminata Popular por la Diabetes y  ExpoDiabetes;0;0;S,D;2023-11-12 00:00:00.0;2023-11-12 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e7e9d691705ab810VgnVCM1000001d4a900aRCRD;10ª edición de la  Carrera y Caminata Popular por la Diabetes y  ExpoDiabetes;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13504728c34ab810VgnVCM1000001d4a900aRCRD;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;11.7
12102925;Autoprotección para mujeres - Temporada 2023-2024;0;1;L,M,X,J,V,S,D;2023-10-08 00:00:00.0;2024-06-21 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0460f51909caa810VgnVCM1000001d4a900aRCRD;Actividad sin nombre;Sin URL;/contenido/actividades/ActividadesDeportivas;12.19
12153422;Carrera de las Ciudades contra el Cáncer de Páncreas;0;0;S,D;2023-11-19 00:00:00.0;2023-11-19 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c872ccec774ab810VgnVCM1000001d4a900aRCRD;Actividad sin nombre;Sin URL;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;4.3
11441198;Ciclismo por Madrid;0;1;X,S,D;2023-09-01 00:00:00.0;2024-06-30 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=db40e3f0c91ea710VgnVCM2000001f4a900aRCRD;Ciclismo por Madrid;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4cd5f98a5c668510VgnVCM2000001f4a900aRCRD;/contenido/actividades/ActividadesDeportivas/Ciclismo;12.94
12151373;Clinic Voleibol 2023;1;0;S,D;2023-11-09 00:00:00.0;2023-11-09 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=72024880fc49b810VgnVCM2000001f4a900aRCRD;Primavera en Chamartín 2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=98a3433af8a60810VgnVCM1000001d4a900aRCRD;Sin tipo;0.0
11234187;Correr por Madrid;0;1;L,M,X,J;2023-09-01 00:00:00.0;2024-06-30 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=712a8daaa32d4710VgnVCM1000001d4a900aRCRD;Correr por Madrid;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9def21a074077510VgnVCM2000001f4a900aRCRD;/contenido/actividades/ActividadesDeportivas;7.62
12128700;Madrid Horse Week;0;1;L,M,X,J,V,S,D;2023-11-24 00:00:00.0;2023-11-26 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=929134a18291b810VgnVCM1000001d4a900aRCRD;IFEMA Madrid Horse Week 2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2c6f34a18291b810VgnVCM1000001d4a900aRCRD;/contenido/actividades/ActividadesDeportivas/Hipica;13.67
11445886;Marcha nórdica;0;1;L,M,X,J;2023-09-01 00:00:00.0;2024-06-30 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=452bf7504d6fa710VgnVCM1000001d4a900aRCRD;Marcha nórdica por Madrid;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=336905459682e510VgnVCM1000001d4a900aRCRD;/contenido/actividades/ActividadesDeportivas;2.55
11748362;Piragüismo por Madrid;0;1;V,S,D;2023-09-01 00:00:00.0;2024-07-31 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a73b16daa0b2810VgnVCM1000001d4a900aRCRD;Piragüismo por Madrid;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=265829cc0b9f8410VgnVCM1000000b205a0aRCRD;/contenido/actividades/ActividadesDeportivas;4.62
11445019;Triatlón por Madrid;0;1;V,S;2023-09-01 00:00:00.0;2024-06-30 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f7df3104e46fa710VgnVCM1000001d4a900aRCRD;Triatlón por Madrid;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eafe3104e46fa710VgnVCM1000001d4a900aRCRD;/contenido/actividades/ActividadesDeportivas/Ciclismo;9.61
12065968;Triatlón por Madrid;0;1;M,J;2023-09-01 00:00:00.0;2024-06-30 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=86742bbbbdc89810VgnVCM2000001f4a900aRCRD;Triatlón por Madrid;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eafe3104e46fa710VgnVCM1000001d4a900aRCRD;/contenido/actividades/ActividadesDeportivas/Ciclismo;13.7
11445194;Triatlón por Madrid;0;1;J,S;2023-09-01 00:00:00.0;2024-06-30 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e703104e46fa710VgnVCM1000001d4a900aRCRD;Triatlón por Madrid;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eafe3104e46fa710VgnVCM1000001d4a900aRCRD;/contenido/actividades/ActividadesDeportivas/Ciclismo;11.04
12149680;VII Carrera Vuela Contra la Violencia de Género;0;0;S,D;2023-11-26 00:00:00.0;2023-11-26 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1efb1b4f8af8b810VgnVCM2000001f4a900aRCRD;Actividad sin nombre;Sin URL;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;14.11
12119380;Villaverde Activo - Talleres de Calistenia, Parkour y Skate;1;1;L,M,X,J,V,S,D;2023-10-02 00:00:00.0;2023-12-17 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b3157e8f60fa810VgnVCM2000001f4a900aRCRD;Villaverde Activo - Deportes Urbanos: Calistenia, Parkour y Skate;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f01157e8f60fa810VgnVCM2000001f4a900aRCRD;/contenido/actividades/ActividadesDeportivas;0.0
12152173;Villaverde Activo - Zumba;1;1;L,M,X,J,V,S,D;2023-10-02 00:00:00.0;2023-12-17 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=35f0188fec3ab810VgnVCM1000001d4a900aRCRD;Villaverde Activo - Zumba;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb4057e8f60fa810VgnVCM2000001f4a900aRCRD;/contenido/actividades/ActividadesDeportivas;0.0
12142199;XIII Derbi de las Aficiones de Madrid;0;0;S,D;2023-11-12 00:00:00.0;2023-11-12 23:59:00.0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=57533a6c1a07b810VgnVCM1000001d4a900aRCRD;Actividad sin nombre;Sin URL;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;3.88
